chi2cdf table of deg 1
x	chi2cdf(x)	1-chi2cdf(x)
52.88	1.000000e-00	3.546052e-13
52.87	1.000000e-00	3.563816e-13
52.86	1.000000e-00	3.581579e-13
52.85	1.000000e-00	3.600453e-13
52.84	1.000000e-00	3.618217e-13
52.83	1.000000e-00	3.637091e-13
52.82	1.000000e-00	3.655964e-13
52.81	1.000000e-00	3.673728e-13
52.80	1.000000e-00	3.692602e-13
52.79	1.000000e-00	3.711476e-13
52.78	1.000000e-00	3.730349e-13
52.77	1.000000e-00	3.750333e-13
52.76	1.000000e-00	3.769207e-13
52.75	1.000000e-00	3.788081e-13
52.74	1.000000e-00	3.808065e-13
52.73	1.000000e-00	3.826939e-13
52.72	1.000000e-00	3.846923e-13
52.71	1.000000e-00	3.865797e-13
52.70	1.000000e-00	3.885781e-13
52.69	1.000000e-00	3.905765e-13
52.68	1.000000e-00	3.925749e-13
52.67	1.000000e-00	3.945733e-13
52.66	1.000000e-00	3.965717e-13
52.65	1.000000e-00	3.985701e-13
52.64	1.000000e-00	4.006795e-13
52.63	1.000000e-00	4.026779e-13
52.62	1.000000e-00	4.047873e-13
52.61	1.000000e-00	4.067857e-13
52.60	1.000000e-00	4.088951e-13
52.59	1.000000e-00	4.110046e-13
52.58	1.000000e-00	4.131140e-13
52.57	1.000000e-00	4.152234e-13
52.56	1.000000e-00	4.173328e-13
52.55	1.000000e-00	4.194423e-13
52.54	1.000000e-00	4.215517e-13
52.53	1.000000e-00	4.237721e-13
52.52	1.000000e-00	4.258816e-13
52.51	1.000000e-00	4.281020e-13
52.50	1.000000e-00	4.302114e-13
52.49	1.000000e-00	4.324319e-13
52.48	1.000000e-00	4.346523e-13
52.47	1.000000e-00	4.368728e-13
52.46	1.000000e-00	4.390932e-13
52.45	1.000000e-00	4.413137e-13
52.44	1.000000e-00	4.436451e-13
52.43	1.000000e-00	4.458656e-13
52.42	1.000000e-00	4.480860e-13
52.41	1.000000e-00	4.504175e-13
52.40	1.000000e-00	4.527489e-13
52.39	1.000000e-00	4.550804e-13
52.38	1.000000e-00	4.574119e-13
52.37	1.000000e-00	4.597434e-13
52.36	1.000000e-00	4.620748e-13
52.35	1.000000e-00	4.644063e-13
52.34	1.000000e-00	4.667378e-13
52.33	1.000000e-00	4.691803e-13
52.32	1.000000e-00	4.715117e-13
52.31	1.000000e-00	4.739542e-13
52.30	1.000000e-00	4.763967e-13
52.29	1.000000e-00	4.788392e-13
52.28	1.000000e-00	4.812817e-13
52.27	1.000000e-00	4.837242e-13
52.26	1.000000e-00	4.861667e-13
52.25	1.000000e-00	4.886092e-13
52.24	1.000000e-00	4.911627e-13
52.23	1.000000e-00	4.937162e-13
52.22	1.000000e-00	4.961587e-13
52.21	1.000000e-00	4.987122e-13
52.20	1.000000e-00	5.012657e-13
52.19	1.000000e-00	5.038192e-13
52.18	1.000000e-00	5.063727e-13
52.17	1.000000e-00	5.089262e-13
52.16	1.000000e-00	5.115908e-13
52.15	1.000000e-00	5.141443e-13
52.14	1.000000e-00	5.168088e-13
52.13	1.000000e-00	5.194734e-13
52.12	1.000000e-00	5.221379e-13
52.11	1.000000e-00	5.248024e-13
52.10	1.000000e-00	5.274670e-13
52.09	1.000000e-00	5.301315e-13
52.08	1.000000e-00	5.327960e-13
52.07	1.000000e-00	5.355716e-13
52.06	1.000000e-00	5.383471e-13
52.05	1.000000e-00	5.410117e-13
52.04	1.000000e-00	5.437872e-13
52.03	1.000000e-00	5.465628e-13
52.02	1.000000e-00	5.493384e-13
52.01	1.000000e-00	5.522249e-13
52.00	1.000000e-00	5.550005e-13
51.99	1.000000e-00	5.578871e-13
51.98	1.000000e-00	5.606626e-13
51.97	1.000000e-00	5.635492e-13
51.96	1.000000e-00	5.664358e-13
51.95	1.000000e-00	5.693224e-13
51.94	1.000000e-00	5.722089e-13
51.93	1.000000e-00	5.750955e-13
51.92	1.000000e-00	5.780931e-13
51.91	1.000000e-00	5.810907e-13
51.90	1.000000e-00	5.839773e-13
51.89	1.000000e-00	5.869749e-13
51.88	1.000000e-00	5.899725e-13
51.87	1.000000e-00	5.929701e-13
51.86	1.000000e-00	5.960787e-13
51.85	1.000000e-00	5.990763e-13
51.84	1.000000e-00	6.020739e-13
51.83	1.000000e-00	6.051826e-13
51.82	1.000000e-00	6.082912e-13
51.81	1.000000e-00	6.113998e-13
51.80	1.000000e-00	6.145084e-13
51.79	1.000000e-00	6.176171e-13
