id	symbol	sid	xref_key	xref_dbname
1868332	BIK1	97048	PAC14	SGD
1868332	BIK1	97048	YCL029C	SGD
1868333	BIM1	97048	EB1	SGD
1868333	BIM1	97048	YEB1	SGD
1868333	BIM1	97048	YER016W	SGD
1868334	BIO2	97048	YGR286C	SGD
1868335	BIO3	97048	YNR058W	SGD
1868336	BIO4	97048	YNR057C	SGD
1868337	BIO5	97048	YNR056C	SGD
1868339	BIR1	97048	YJR089W	SGD
1868340	BIT2	97048	YBR270C	SGD
1868341	BIT61	97048	YJL058C	SGD
1868342	BLM10	97048	YFL006W	SGD
1868342	BLM10	97048	YFL007W	SGD
1868344	BMH1	97048	APR6	SGD
1868344	BMH1	97048	YER177W	SGD
1868345	BMH2	97048	SCD3	SGD
1868345	BMH2	97048	YDR099W	SGD
1868346	BMS1	97048	YPL217C	SGD
1868347	BNA1	97048	HAD1	SGD
1868347	BNA1	97048	YJR025C	SGD
1868348	BNA2	97048	YJR078W	SGD
1868349	BNA3	97048	YJL060W	SGD
1868350	BNA4	97048	YBL098W	SGD
1868351	BNA5	97048	YLR231C	SGD
1868352	BNA6	97048	QPT1	SGD
1868352	BNA6	97048	YFR047C	SGD
1868353	BNI1	97048	PPF3	SGD
1868353	BNI1	97048	SHE5	SGD
1868353	BNI1	97048	YNL271C	SGD
1868354	BNI4	97048	YNL233W	SGD
1868355	BNI5	97048	YNL166C	SGD
1868356	BNR1	97048	YIL159W	SGD
1868357	BNS1	97048	YGR230W	SGD
1868358	BOI1	97048	BOB1	SGD
1868358	BOI1	97048	GIN7	SGD
1868358	BOI1	97048	YBL085W	SGD
1868359	BOI2	97048	BEB1	SGD
1868359	BOI2	97048	YER114C	SGD
1868360	BOP2	97048	YLR267W	SGD
1868361	BOP3	97048	YNL042W	SGD
1868362	BOR1	97048	YNL275W	SGD
1868363	BOS1	97048	SEC32	SGD
1868363	BOS1	97048	YLR078C	SGD
1868364	BPH1	97048	YCR032W	SGD
1868365	BPL1	97048	ACC2	SGD
1868365	BPL1	97048	YDL141W	SGD
1868366	BPT1	97048	YLL015W	SGD
1868367	BRE1	97048	YDL074C	SGD
1868368	BRE2	97048	CPS60	SGD
1868368	BRE2	97048	YLR015W	SGD
1868369	BRE4	97048	YDL231C	SGD
1868370	BRE5	97048	YNR051C	SGD
1868371	BRF1	97048	PCF4	SGD
1868371	BRF1	97048	TDS4	SGD
1868371	BRF1	97048	TFIIIB70	SGD
1868371	BRF1	97048	YGR246C	SGD
1868372	BRL1	97048	YHR036W	SGD
1868373	BRN1	97048	YBL097W	SGD
1868374	BRO1	97048	ASI6	SGD
1868374	BRO1	97048	LPF2	SGD
1868374	BRO1	97048	NPI3	SGD
1868374	BRO1	97048	VPS31	SGD
1868374	BRO1	97048	YPL084W	SGD
1868375	BRR1	97048	YPR057W	SGD
1868376	BRR2	97048	PRP44	SGD
1868376	BRR2	97048	RSS1	SGD
1868376	BRR2	97048	SLT22	SGD
1868376	BRR2	97048	SNU246	SGD
1868376	BRR2	97048	YER172C	SGD
1868377	BRR6	97048	YGL247W	SGD
1868378	BRX1	97048	YOL077C	SGD
1868379	BSC1	97048	YDL037C	SGD
1868380	BSC2	97048	YDR275W	SGD
1868381	BSC4	97048	YNL269W	SGD
1868382	BSC5	97048	YNR069C	SGD
1868383	BSC6	97048	YOL137W	SGD
